epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9775,0.95265,2.52185,1.14291,0.00505,0.96552,0.54027,0.2587,0.94407,2.97038,1.30007,0.000592593,0.000592593,0.000592593
2,128.876,0.96621,1.8625,1.10397,0.00505,0.96552,0.49013,0.29126,0.9152,2.79764,1.3283,0.00123433,0.00123433,0.00123433
3,191.877,1.05033,1.5161,1.15167,0.54251,0.15517,0.34091,0.16025,1.20615,2.86831,1.62339,0.00184966,0.00184966,0.00184966
4,256.787,0.98335,1.35502,1.13521,0.34683,0.37931,0.32226,0.18491,1.14262,2.68413,1.56463,0.0018812,0.0018812,0.0018812
5,321.411,1.01327,1.34116,1.15228,0.38895,0.39655,0.21698,0.10316,1.5749,2.85361,1.78994,0.0018416,0.0018416,0.0018416
6,382.206,0.93911,1.18974,1.08222,0.22999,0.39655,0.23395,0.14088,1.57244,2.893,1.7587,0.001802,0.001802,0.001802
7,443.377,0.874,1.14574,1.08935,0.65546,0.55767,0.6136,0.40388,1.29955,2.37942,1.70311,0.0017624,0.0017624,0.0017624
8,502.508,0.9102,1.09101,1.08034,0.37703,0.41379,0.34532,0.20746,1.29829,2.49432,1.61303,0.0017228,0.0017228,0.0017228
9,564.493,0.80743,0.99461,1.04944,0.33997,0.41379,0.33931,0.20044,1.39369,2.53489,1.69485,0.0016832,0.0016832,0.0016832
10,627.079,0.87174,0.99655,1.0631,0.40661,0.37931,0.31215,0.19279,1.42987,2.55693,1.69381,0.0016436,0.0016436,0.0016436
11,689.305,0.91553,1.01509,1.07164,0.19857,0.55172,0.1606,0.09469,1.38323,2.78565,1.66487,0.001604,0.001604,0.001604
12,751.304,0.83649,0.94364,1.03893,0.85554,0.68966,0.79006,0.60213,0.99797,1.58337,1.31901,0.0015644,0.0015644,0.0015644
13,812.237,0.85397,0.9424,1.03638,0.88867,0.7069,0.80894,0.58329,1.01935,1.51044,1.28,0.0015248,0.0015248,0.0015248
14,873.468,0.80049,0.86063,1.01858,0.87319,0.72414,0.83363,0.64446,0.8373,1.46468,1.17162,0.0014852,0.0014852,0.0014852
15,934.373,0.81383,0.81158,1.00517,0.9549,0.7069,0.83295,0.65583,0.87388,1.33739,1.18124,0.0014456,0.0014456,0.0014456
16,995.031,0.84684,0.82789,1.04767,0.95393,0.74138,0.84714,0.63094,0.88533,1.26801,1.24131,0.001406,0.001406,0.001406
17,1056.25,0.78912,0.8066,0.99541,0.88341,0.78394,0.85561,0.66772,0.81501,1.19376,1.13099,0.0013664,0.0013664,0.0013664
